"attribute","audience","koaich","slack","notion","google-workspace","microsoft-teams","discord","signal","sms","facebook-messenger","linkedin","whatsapp"
"E2E encrypted messages by default","both","Yes","No","n/a","No","Only 1:1 calls (opt-in)","No (DAVE for voice only)","Yes","No","Yes (since late 2024)","No","Yes (Signal Protocol)"
"E2E encrypted documents","workspace","Yes","n/a","No","CSE on Enterprise Plus only","Customer Key on E5 only","n/a","n/a","n/a","n/a","n/a","n/a"
"E2E encrypted files","both","Yes","No","No","CSE on Enterprise Plus only","Customer Key on E5 only","No","Yes (attachments in chats)","n/a","Yes (in E2E chats)","No","Yes (attachments in E2E chats)"
"Can the vendor read your content?","both","No","Yes","Yes","Yes (default tiers)","Yes (default tiers)","Yes","No","Yes (carrier reads all)","No (content); Yes (metadata)","Yes","No (content); Yes (metadata)"
"Send to a non-platform recipient via email (encrypted)","workspace","Yes (encrypted digest)","No","Shared link (cleartext)","Yes (cleartext)","No","No","No","n/a","n/a","n/a","n/a"
"Group key rotation on member churn","both","Yes (MLS)","No","No","No","No","No","Yes","n/a","Yes (Signal Protocol groups)","n/a","Yes (Signal Protocol)"
"Message TTL / auto-expiration","both","Yes, every message","Workspace retention policies","No","Retention policies","Retention policies","Premium, channel-level","Yes","No","Disappearing messages (opt-in per chat)","No","Disappearing messages (opt-in per chat)"
"Per-vault key isolation","workspace","Yes","No (workspace-wide)","No","No","No","No","n/a","n/a","No (account-wide keys)","n/a","No (account-wide keys)"
"Recovery without vendor-held keys","both","Yes (Shamir + WebAuthn)","No (password reset by vendor)","No","No","No (AD reset)","No","Yes (PIN)","n/a","Encrypted backups (opt-in PIN)","No (password reset)","Encrypted backups (opt-in PIN)"
"Operator business model","messaging","Subscription (no ad-targeting)","—","—","—","—","—","Non-profit (no ads)","Carrier subscription","Advertising (Meta)","Advertising + premium (Microsoft)","Advertising (Meta)"
"Account identity tied to broader profile","messaging","No (Koaich account only)","—","—","—","—","—","No (phone or username)","Phone number (carrier-bound)","Yes (Facebook profile)","Yes (LinkedIn profile + Microsoft)","Yes (phone number, Meta-linked)"
"Cloud backup encrypted end-to-end","messaging","Yes (by design)","—","—","—","—","—","Yes (Signal-managed)","n/a (carrier-stored)","Opt-in (PIN required)","—","Opt-in (PIN required, since 2021)"
"Contact list visible to vendor","messaging","No (encrypted client-side)","—","—","—","—","—","No (kept on device)","Yes (carrier address book sync varies)","Yes (Facebook contacts + uploaded)","Yes (entire network is the address book)","Yes (full phone-book upload by default)"
"Contact lookup uses keyed HMAC (vs. cleartext email)","messaging","Yes (email_hmac)","—","—","—","—","—","Yes (private contact discovery via SGX)","n/a","No (cleartext)","No (cleartext)","No (cleartext phone numbers uploaded)"
"Sealed-sender (vendor can't see who sent the message)","messaging","No (roadmap — see PRD)","—","—","—","—","—","Yes","No (carrier sees everything)","No","No","No"
